iter	Passed	Remaining
0	1	169
1	2	146
2	4	139
3	5	127
4	6	124
5	7	119
6	8	115
7	9	111
8	10	109
9	11	105
10	12	102
11	13	99
12	14	97
13	15	96
14	16	93
15	17	91
16	18	89
17	19	88
18	20	86
19	21	85
20	22	83
21	23	82
22	24	81
23	25	79
24	26	78
25	27	77
26	28	76
27	29	74
28	30	73
29	30	72
30	31	71
31	32	69
32	33	68
33	34	67
34	35	66
35	36	65
36	38	64
37	38	63
38	39	62
39	40	61
40	41	60
41	42	58
42	43	57
43	44	56
44	45	55
45	46	54
46	47	53
47	48	52
48	49	51
49	50	50
50	51	49
51	52	48
52	53	47
53	54	46
54	55	45
55	56	44
56	57	43
57	58	42
58	59	41
59	60	40
60	61	39
61	63	38
62	64	37
63	65	36
64	65	35
65	66	34
66	67	33
67	68	32
68	69	31
69	70	30
70	71	29
71	72	28
72	73	27
73	74	26
74	75	25
75	76	24
76	77	23
77	78	22
78	79	21
79	80	20
80	80	18
81	81	17
82	82	16
83	83	15
84	84	14
85	85	13
86	86	12
87	87	11
88	88	10
89	89	9
90	90	8
91	91	7
92	92	6
93	93	5
94	93	4
95	94	3
96	95	2
97	96	1
98	97	0
99	98	0
