iter	Passed	Remaining
0	122	122611
1	124	62278
2	128	42710
3	130	32481
4	132	26336
5	134	22261
6	136	19355
7	138	17172
8	141	15572
9	143	14245
10	145	13111
11	147	12176
12	149	11379
13	151	10694
14	153	10106
15	157	9700
16	159	9244
17	161	8828
18	163	8465
19	165	8126
20	168	7832
21	170	7581
22	172	7347
23	175	7120
24	177	6903
25	178	6704
26	180	6520
27	183	6357
28	186	6241
29	188	6098
30	191	5971
31	192	5836
32	195	5716
33	197	5615
34	200	5532
35	202	5431
36	204	5329
37	206	5235
38	208	5146
39	210	5061
40	214	5019
41	217	4971
42	220	4896
43	223	4847
44	225	4786
45	229	4764
46	232	4717
47	234	4660
48	237	4606
49	239	4546
50	241	4492
51	244	4450
52	246	4406
53	248	4354
54	250	4307
55	252	4260
56	255	4225
57	258	4200
58	260	4160
59	262	4118
60	264	4078
61	267	4040
62	269	4005
63	272	3978
64	274	3948
65	276	3915
66	279	3885
67	280	3850
68	282	3817
69	284	3785
70	287	3766
71	290	3743
72	292	3720
73	294	3691
74	296	3662
75	299	3636
76	301	3616
77	304	3600
78	306	3573
79	308	3547
80	310	3521
81	312	3496
82	313	3461
83	315	3438
84	319	3441
85	323	3437
86	325	3420
87	327	3397
88	330	3381
89	334	3378
90	338	3377
91	340	3358
92	342	3337
93	345	3329
94	349	3327
95	351	3311
96	353	3292
97	355	3276
98	358	3258
99	360	3240
100	363	3232
101	366	3226
102	368	3212
103	370	3195
104	372	3178
105	374	3161
106	377	3153
107	380	3142
108	383	3133
109	385	3121
110	388	3108
111	390	3093
112	393	3085
113	395	3071
114	397	3056
115	399	3041
116	400	3024
117	402	3009
118	404	2994
119	407	2986
120	410	2979
121	411	2964
122	413	2951
123	415	2936
124	417	2922
125	419	2910
126	421	2895
127	424	2890
128	426	2880
129	428	2867
130	430	2855
131	432	2843
132	434	2831
133	436	2822
134	439	2816
135	441	2805
136	443	2793
137	445	2781
138	447	2770
139	449	2760
140	451	2751
141	453	2738
142	455	2730
143	457	2719
144	459	2709
145	461	2700
146	463	2690
147	465	2679
148	468	2676
149	470	2666
150	472	2656
151	474	2646
152	477	2641
153	479	2631
154	480	2622
155	483	2616
156	485	2607
157	487	2597
158	489	2588
159	491	2579
160	492	2567
161	494	2559
162	498	2557
163	500	2550
164	502	2542
165	504	2533
166	506	2524
167	508	2516
168	510	2507
169	512	2502
170	515	2497
171	517	2490
172	519	2483
173	521	2476
174	524	2470
175	526	2464
176	529	2463
177	531	2456
178	534	2449
179	536	2441
180	538	2435
181	540	2429
182	544	2432
183	547	2426
184	548	2418
185	550	2410
186	552	2403
187	554	2396
188	557	2392
189	560	2388
190	562	2381
191	564	2374
192	566	2368
193	568	2361
194	570	2356
195	574	2356
196	576	2350
197	578	2343
198	580	2336
199	582	2329
200	584	2322
201	587	2319
202	590	2318
203	592	2312
204	594	2305
205	596	2298
206	598	2291
207	600	2285
208	603	2283
209	605	2278
210	607	2272
211	609	2265
212	611	2259
213	613	2252
214	615	2245
215	618	2244
216	620	2238
217	622	2231
218	623	2224
219	626	2219
220	628	2213
221	629	2207
222	632	2204
223	635	2200
224	637	2194
225	639	2188
226	641	2182
227	642	2176
228	644	2171
229	647	2168
230	650	2163
231	652	2158
232	654	2153
233	656	2147
234	658	2142
235	659	2136
236	662	2133
237	664	2128
238	666	2121
239	668	2116
240	670	2110
241	672	2106
242	674	2101
243	676	2096
244	679	2093
245	681	2088
246	683	2083
247	685	2078
248	687	2072
249	689	2067
250	691	2064
251	694	2062
252	697	2058
253	698	2052
254	700	2047
255	702	2041
256	704	2036
257	706	2031
258	708	2028
259	711	2024
260	713	2019
261	715	2014
262	717	2009
263	718	2004
264	720	1999
265	724	1998
266	726	1993
267	728	1988
268	730	1983
269	731	1979
270	734	1974
271	737	1973
272	740	1970
273	741	1965
274	743	1961
275	745	1956
276	747	1952
277	749	1947
278	752	1945
279	754	1941
280	756	1936
281	758	1931
282	760	1926
283	762	1921
284	764	1916
285	766	1912
286	769	1910
287	771	1906
288	773	1902
289	775	1897
290	777	1893
291	779	1889
292	781	1884
293	784	1883
294	786	1879
295	788	1875
296	790	1871
297	792	1867
298	794	1863
299	797	1860
300	799	1856
301	801	1852
302	803	1848
303	805	1844
304	807	1840
305	809	1835
306	811	1831
307	814	1829
308	816	1825
309	818	1821
310	820	1816
311	822	1812
312	823	1808
313	825	1804
314	829	1803
315	831	1799
316	833	1795
317	835	1791
318	837	1787
319	839	1783
320	841	1779
321	844	1777
322	846	1773
323	847	1769
324	849	1764
325	851	1760
326	853	1756
327	856	1754
328	859	1753
329	861	1748
330	863	1745
331	865	1741
332	867	1737
333	869	1733
334	872	1731
335	874	1728
336	876	1724
337	878	1720
338	880	1716
339	882	1712
340	884	1708
341	887	1707
342	890	1704
343	891	1700
344	893	1697
345	895	1693
346	897	1689
347	900	1686
348	903	1684
349	905	1681
350	907	1678
351	909	1674
352	911	1670
353	913	1667
354	915	1663
355	918	1662
356	921	1659
357	923	1655
358	925	1652
359	927	1648
360	929	1644
361	931	1641
362	934	1640
363	936	1636
364	938	1633
365	940	1629
366	942	1626
367	944	1622
368	947	1620
369	949	1617
370	952	1614
371	953	1610
372	955	1606
373	957	1603
374	959	1599
375	961	1596
376	964	1594
377	966	1590
378	968	1587
379	970	1583
380	972	1580
381	974	1576
382	976	1572
383	979	1570
384	981	1567
385	983	1564
386	985	1560
387	987	1557
388	989	1553
389	991	1550
390	994	1548
391	996	1545
392	998	1542
393	1000	1539
394	1002	1535
395	1004	1532
396	1006	1528
397	1009	1527
398	1011	1523
399	1013	1520
400	1015	1517
401	1017	1513
402	1020	1511
403	1023	1509
404	1025	1505
405	1026	1502
406	1028	1498
407	1030	1494
408	1032	1491
409	1034	1488
410	1036	1484
411	1038	1482
412	1040	1479
413	1042	1476
414	1044	1472
415	1046	1469
416	1048	1465
417	1050	1462
418	1053	1460
419	1055	1458
420	1057	1454
421	1059	1451
422	1061	1448
423	1063	1444
424	1065	1441
425	1068	1439
426	1070	1435
427	1071	1432
428	1073	1429
429	1075	1426
430	1077	1422
431	1079	1419
432	1081	1416
433	1084	1414
434	1087	1412
435	1089	1409
436	1091	1405
437	1093	1402
438	1095	1399
439	1097	1396
440	1100	1394
441	1102	1392
442	1104	1388
443	1106	1385
444	1108	1382
445	1110	1379
446	1113	1377
447	1115	1374
448	1117	1371
449	1119	1368
450	1121	1365
451	1123	1362
452	1125	1358
453	1127	1356
454	1130	1354
455	1132	1351
456	1134	1348
457	1136	1345
458	1138	1342
459	1140	1339
460	1145	1338
461	1147	1335
462	1149	1332
463	1151	1329
464	1153	1326
465	1154	1323
466	1156	1320
467	1159	1317
468	1161	1315
469	1163	1312
470	1165	1309
471	1167	1305
472	1169	1302
473	1171	1299
474	1174	1297
475	1176	1295
476	1178	1292
477	1180	1289
478	1182	1286
479	1184	1283
480	1186	1280
481	1189	1278
482	1191	1275
483	1193	1272
484	1195	1269
485	1197	1266
486	1199	1263
487	1201	1260
488	1204	1258
489	1206	1255
490	1208	1252
491	1210	1249
492	1212	1246
493	1214	1244
494	1216	1241
495	1219	1238
496	1221	1236
497	1223	1233
498	1225	1230
499	1227	1227
500	1229	1224
501	1231	1221
502	1234	1219
503	1236	1217
504	1238	1214
505	1240	1211
506	1242	1208
507	1244	1205
508	1247	1203
509	1250	1201
510	1252	1198
511	1254	1195
512	1256	1192
513	1258	1189
514	1260	1186
515	1262	1183
516	1264	1181
517	1268	1179
518	1270	1177
519	1271	1174
520	1273	1170
521	1275	1168
522	1277	1165
523	1280	1163
524	1282	1160
525	1284	1157
526	1286	1154
527	1288	1151
528	1290	1148
529	1292	1146
530	1295	1144
531	1297	1141
532	1299	1138
533	1301	1135
534	1303	1133
535	1305	1130
536	1307	1127
537	1310	1125
538	1313	1123
539	1315	1120
540	1317	1118
541	1319	1115
542	1322	1112
543	1327	1112
544	1330	1110
545	1332	1107
546	1334	1105
